,tempMean,psalMean,tempStd,psalStd,startDate,endDate,nProf
0,17.04674983,36.36796474,0.093750361,0.022252576,1/1/04,1/13/04,8
1,17.26283296,36.4501133,0.386576734,0.087607794,1/14/04,1/26/04,6
2,17.08680019,36.40299416,0.366742374,0.054226865,1/27/04,2/8/04,10
3,17.36749999,36.45523643,0.239902564,0.060579312,2/9/04,2/21/04,6
4,16.29199982,36.28429222,0.213447096,0.041899957,2/22/04,3/5/04,6
5,17.22119999,36.44169083,0.248674976,0.066711941,3/6/04,3/18/04,10
6,17.37316672,36.55111694,0.166322818,0.033940682,3/19/04,3/30/04,6
7,16.96250025,36.43442599,0.183409457,0.070159716,3/31/04,4/11/04,6
8,16.85483329,36.44489415,0.541516018,0.094924739,4/12/04,4/23/04,8
9,17.21040001,36.48108902,0.585943081,0.106845731,4/24/04,5/5/04,10
10,17.24807153,36.46347209,0.345570335,0.062192434,5/6/04,5/17/04,14
11,17.48716672,36.44874001,0.491416272,0.111010052,5/18/04,5/29/04,6
12,18.22670002,36.46481133,0.673217821,0.098492135,5/30/04,6/10/04,10
13,19.69958353,36.50519753,0.923989222,0.081532288,6/11/04,6/22/04,12
14,21.05090008,36.56101935,1.435006908,0.102838838,6/23/04,7/4/04,10
15,21.51614285,36.67549488,0.248784493,0.041416739,7/5/04,7/16/04,14
16,21.98749981,36.70823555,0.457768277,0.021933803,7/17/04,7/28/04,10
17,22.92629967,36.69594727,1.027510945,0.053222516,7/29/04,8/9/04,10
18,23.85374991,36.71103986,0.851277205,0.069846492,8/10/04,8/21/04,12
19,23.25299988,36.64710846,0.88267412,0.134597138,8/22/04,9/2/04,10
20,22.93258333,36.61054516,0.74283293,0.167627514,9/3/04,9/14/04,12
21,22.64899993,36.69711208,0.743543704,0.133846811,9/15/04,9/26/04,8
22,22.54974985,36.65979528,0.619905824,0.20999577,9/27/04,10/8/04,8
23,22.35750008,36.83150101,0.67203769,0.104500258,10/9/04,10/20/04,4
24,21.66585704,36.62254497,0.955654745,0.193733509,10/21/04,11/1/04,8
25,20.21916691,36.55890846,1.058297227,0.166295232,11/2/04,11/13/04,12
26,19.65300012,36.65092802,1.071605633,0.145402142,11/14/04,11/25/04,8
27,19.78125,36.65400028,1.086313413,0.223446733,11/26/04,12/7/04,4
28,17.87450004,36.47835398,1.026610208,0.179177217,12/8/04,12/19/04,8
29,17.11662459,36.40274525,0.967138471,0.200626744,12/20/04,12/31/04,8
30,16.57749987,36.37592628,0.890329875,0.179887932,1/1/05,1/13/05,12
31,16.484375,36.39683533,1.026047723,0.183843526,1/14/05,1/26/05,8
32,15.99525023,36.33836651,1.013888585,0.171654237,1/27/05,2/8/05,8
33,15.51183327,36.27962049,0.750234126,0.131672836,2/9/05,2/21/05,12
34,16.02650023,36.39016279,0.430689745,0.061490369,2/22/05,3/6/05,6
35,15.90675008,36.32615757,0.34623804,0.026140056,3/7/05,3/18/05,8
36,15.89812493,36.27259874,0.668011508,0.130504553,3/19/05,3/30/05,8
37,16.40875018,36.25548649,0.866079732,0.17827691,3/31/05,4/11/05,8
38,16.04699993,36.24011285,0.634534987,0.118921285,4/12/05,4/23/05,7
39,17.03129988,36.35072136,0.828769741,0.170541958,4/24/05,5/5/05,10
40,17.871143,36.46102301,0.998382391,0.190323767,5/6/05,5/17/05,14
41,18.44650002,36.49057484,0.418631881,0.089413622,5/18/05,5/29/05,10
42,18.51966667,36.48102697,0.079813827,0.074392777,5/30/05,6/10/05,6
43,19.39274979,36.50174904,0.481871975,0.217971117,6/11/05,6/22/05,4
44,20.19449997,36.45533085,0.571450494,0.134525145,6/23/05,7/4/05,8
45,20.50916672,36.48766022,0.590320259,0.144953083,7/5/05,7/16/05,12
46,21.21649981,36.7329998,1.092856,0.022628474,7/17/05,7/28/05,4
47,22.02725005,36.6032238,0.456115796,0.085637584,7/29/05,8/9/05,8
48,22.52549982,36.64451154,0.375989817,0.094106876,8/10/05,8/21/05,8
49,22.06612492,36.69900449,0.699050901,0.13315573,8/22/05,9/2/05,8
